id,text_de,author,category,difficulty,explanation_short,provenance
antiduehring_012,Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,(unknown),"Natur,Gesellschaft",beginner,Kurz erklaert: Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,generated
antiduehring_013,Wissenschaftliche Analyse ersetzt blossen Moralappell.,(unknown),"Sozialismus,Theorie",intermediate,Kurz erklaert: Wissenschaftliche Analyse ersetzt blossen Moralappell.,generated
antiduehring_014,"Dialektik hilft, Widersprueche in Bewegung zu sehen.",(unknown),"Kritik,System",advanced,"Kurz erklaert: Dialektik hilft, Widersprueche in Bewegung zu sehen.",generated
antiduehring_015,Die Theorie muss sich an der Praxis bewahren.,(unknown),"Wissenschaft,Praxis",beginner,Kurz erklaert: Die Theorie muss sich an der Praxis bewahren.,generated
antiduehring_016,Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,(unknown),"Dialektik,Methode",intermediate,Kurz erklaert: Kritik an Dogmen bedeutet auch Kritik an starren Denkformen.,generated
antiduehring_017,Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,(unknown),"Natur,Gesellschaft",advanced,Kurz erklaert: Sozialismus wird als Bewegung der realen Verhaeltnisse bestimmt.,generated
antiduehring_018,Wissenschaftliche Analyse ersetzt blossen Moralappell.,(unknown),"Sozialismus,Theorie",beginner,Kurz erklaert: Wissenschaftliche Analyse ersetzt blossen Moralappell.,generated
briefe_001,"Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",(unknown),"Organisation,Bewegung",intermediate,"Kurz erklaert: Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",generated
briefe_002,Politische Organisation entsteht in konkreten Beziehungen.,(unknown),"Solidaritaet,Politik",advanced,Kurz erklaert: Politische Organisation entsteht in konkreten Beziehungen.,generated
briefe_003,Solidaritaet wirkt auch jenseits grosser Programme.,(unknown),"Taktik,Strategie",beginner,Kurz erklaert: Solidaritaet wirkt auch jenseits grosser Programme.,generated
briefe_004,Korrespondenz erhellt die Entwicklung von Argumenten.,(unknown),"Alltag,Kampf",intermediate,Kurz erklaert: Korrespondenz erhellt die Entwicklung von Argumenten.,generated
briefe_005,Die Briefe machen die internationale Vernetzung sichtbar.,(unknown),"Internationalismus,Netzwerk",advanced,Kurz erklaert: Die Briefe machen die internationale Vernetzung sichtbar.,generated
briefe_006,"Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",(unknown),"Organisation,Bewegung",beginner,"Kurz erklaert: Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",generated
briefe_007,Politische Organisation entsteht in konkreten Beziehungen.,(unknown),"Solidaritaet,Politik",intermediate,Kurz erklaert: Politische Organisation entsteht in konkreten Beziehungen.,generated
briefe_008,Solidaritaet wirkt auch jenseits grosser Programme.,(unknown),"Taktik,Strategie",advanced,Kurz erklaert: Solidaritaet wirkt auch jenseits grosser Programme.,generated
briefe_009,Korrespondenz erhellt die Entwicklung von Argumenten.,(unknown),"Alltag,Kampf",beginner,Kurz erklaert: Korrespondenz erhellt die Entwicklung von Argumenten.,generated
briefe_010,Die Briefe machen die internationale Vernetzung sichtbar.,(unknown),"Internationalismus,Netzwerk",intermediate,Kurz erklaert: Die Briefe machen die internationale Vernetzung sichtbar.,generated
briefe_011,"Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",(unknown),"Organisation,Bewegung",advanced,"Kurz erklaert: Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",generated
briefe_012,Politische Organisation entsteht in konkreten Beziehungen.,(unknown),"Solidaritaet,Politik",beginner,Kurz erklaert: Politische Organisation entsteht in konkreten Beziehungen.,generated
briefe_013,Solidaritaet wirkt auch jenseits grosser Programme.,(unknown),"Taktik,Strategie",intermediate,Kurz erklaert: Solidaritaet wirkt auch jenseits grosser Programme.,generated
briefe_014,Korrespondenz erhellt die Entwicklung von Argumenten.,(unknown),"Alltag,Kampf",advanced,Kurz erklaert: Korrespondenz erhellt die Entwicklung von Argumenten.,generated
briefe_015,Die Briefe machen die internationale Vernetzung sichtbar.,(unknown),"Internationalismus,Netzwerk",beginner,Kurz erklaert: Die Briefe machen die internationale Vernetzung sichtbar.,generated
briefe_016,"Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",(unknown),"Organisation,Bewegung",intermediate,"Kurz erklaert: Briefe zeigen die Verbindung von Theorie, Taktik und Alltag.",generated
briefe_017,Politische Organisation entsteht in konkreten Beziehungen.,(unknown),"Solidaritaet,Politik",advanced,Kurz erklaert: Politische Organisation entsteht in konkreten Beziehungen.,generated
briefe_018,Solidaritaet wirkt auch jenseits grosser Programme.,(unknown),"Taktik,Strategie",beginner,Kurz erklaert: Solidaritaet wirkt auch jenseits grosser Programme.,generated
brumaire_001,"Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",(unknown),"Staat,Macht",intermediate,"Kurz erklaert: Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",generated
brumaire_002,Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,(unknown),"Klassen,Politik",advanced,Kurz erklaert: Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,generated
brumaire_003,Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,(unknown),"Geschichte,Wiederholung",beginner,Kurz erklaert: Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,generated
brumaire_004,Politisches Theater kann reale Konflikte verschleiern.,(unknown),"Bauernschaft,Reaktion",intermediate,Kurz erklaert: Politisches Theater kann reale Konflikte verschleiern.,generated
brumaire_005,Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,(unknown),"Schein,Herrschaft",advanced,Kurz erklaert: Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,generated
brumaire_006,"Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",(unknown),"Staat,Macht",beginner,"Kurz erklaert: Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",generated
brumaire_007,Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,(unknown),"Klassen,Politik",intermediate,Kurz erklaert: Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,generated
brumaire_008,Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,(unknown),"Geschichte,Wiederholung",advanced,Kurz erklaert: Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,generated
brumaire_009,Politisches Theater kann reale Konflikte verschleiern.,(unknown),"Bauernschaft,Reaktion",beginner,Kurz erklaert: Politisches Theater kann reale Konflikte verschleiern.,generated
brumaire_010,Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,(unknown),"Schein,Herrschaft",intermediate,Kurz erklaert: Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,generated
brumaire_011,"Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",(unknown),"Staat,Macht",advanced,"Kurz erklaert: Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",generated
brumaire_012,Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,(unknown),"Klassen,Politik",beginner,Kurz erklaert: Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,generated
brumaire_013,Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,(unknown),"Geschichte,Wiederholung",intermediate,Kurz erklaert: Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,generated
brumaire_014,Politisches Theater kann reale Konflikte verschleiern.,(unknown),"Bauernschaft,Reaktion",advanced,Kurz erklaert: Politisches Theater kann reale Konflikte verschleiern.,generated
brumaire_015,Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,(unknown),"Schein,Herrschaft",beginner,Kurz erklaert: Die Analyse des Putsches zeigt die Stabilitaet und Fragilitaet von Herrschaft.,generated
brumaire_016,"Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",(unknown),"Staat,Macht",intermediate,"Kurz erklaert: Geschichte wiederholt sich nicht einfach, sondern in veraenderten Formen.",generated
brumaire_017,Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,(unknown),"Klassen,Politik",advanced,Kurz erklaert: Staatsmacht verdichtet Klassenverhaeltnisse in einer politischen Gestalt.,generated
brumaire_018,Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,(unknown),"Geschichte,Wiederholung",beginner,Kurz erklaert: Bauernschaft und Kleinbuergertum spielen eine widerspruechliche Rolle.,generated
feuerbach_001,Praxis ist der Pruefstein aller Philosophie.,(unknown),"Praxis,Erkenntnis",intermediate,Kurz erklaert: Praxis ist der Pruefstein aller Philosophie.,generated
feuerbach_002,Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,(unknown),"Materialismus,Philosophie",advanced,Kurz erklaert: Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,generated
feuerbach_003,Religion wird als menschliche Projektion erklaert.,(unknown),"Religion,Kritik",beginner,Kurz erklaert: Religion wird als menschliche Projektion erklaert.,generated
feuerbach_004,"Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",(unknown),"Mensch,TÃ¤tigkeit",intermediate,"Kurz erklaert: Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",generated
feuerbach_005,Die klassische Philosophie endet in der Frage nach Praxis.,(unknown),"Wirklichkeit,Theorie",advanced,Kurz erklaert: Die klassische Philosophie endet in der Frage nach Praxis.,generated
feuerbach_006,Praxis ist der Pruefstein aller Philosophie.,(unknown),"Praxis,Erkenntnis",beginner,Kurz erklaert: Praxis ist der Pruefstein aller Philosophie.,generated
feuerbach_007,Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,(unknown),"Materialismus,Philosophie",intermediate,Kurz erklaert: Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,generated
feuerbach_008,Religion wird als menschliche Projektion erklaert.,(unknown),"Religion,Kritik",advanced,Kurz erklaert: Religion wird als menschliche Projektion erklaert.,generated
feuerbach_009,"Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",(unknown),"Mensch,TÃ¤tigkeit",beginner,"Kurz erklaert: Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",generated
feuerbach_010,Die klassische Philosophie endet in der Frage nach Praxis.,(unknown),"Wirklichkeit,Theorie",intermediate,Kurz erklaert: Die klassische Philosophie endet in der Frage nach Praxis.,generated
feuerbach_011,Praxis ist der Pruefstein aller Philosophie.,(unknown),"Praxis,Erkenntnis",advanced,Kurz erklaert: Praxis ist der Pruefstein aller Philosophie.,generated
feuerbach_012,Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,(unknown),"Materialismus,Philosophie",beginner,Kurz erklaert: Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,generated
feuerbach_013,Religion wird als menschliche Projektion erklaert.,(unknown),"Religion,Kritik",intermediate,Kurz erklaert: Religion wird als menschliche Projektion erklaert.,generated
feuerbach_014,"Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",(unknown),"Mensch,TÃ¤tigkeit",advanced,"Kurz erklaert: Materialismus braucht Bewegung und Geschichte, nicht nur Anschauung.",generated
feuerbach_015,Die klassische Philosophie endet in der Frage nach Praxis.,(unknown),"Wirklichkeit,Theorie",beginner,Kurz erklaert: Die klassische Philosophie endet in der Frage nach Praxis.,generated
feuerbach_016,Praxis ist der Pruefstein aller Philosophie.,(unknown),"Praxis,Erkenntnis",intermediate,Kurz erklaert: Praxis ist der Pruefstein aller Philosophie.,generated
feuerbach_017,Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,(unknown),"Materialismus,Philosophie",advanced,Kurz erklaert: Menschen bilden sich in ihrer taetigen Auseinandersetzung mit der Welt.,generated
feuerbach_018,Religion wird als menschliche Projektion erklaert.,(unknown),"Religion,Kritik",beginner,Kurz erklaert: Religion wird als menschliche Projektion erklaert.,generated
grundrisse_001,Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,(unknown),"Abstraktion,Methode",intermediate,Kurz erklaert: Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,generated
grundrisse_002,Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,(unknown),"Maschine,Arbeit",advanced,Kurz erklaert: Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,generated
grundrisse_003,Geld vermittelt Produktion und Austausch als allgemeine Form.,(unknown),"Geld,Krise",beginner,Kurz erklaert: Geld vermittelt Produktion und Austausch als allgemeine Form.,generated
grundrisse_004,Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,(unknown),"Produktion,Zeit",intermediate,Kurz erklaert: Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,generated
grundrisse_005,Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,(unknown),"Entwicklung,Theorie",advanced,Kurz erklaert: Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,generated
grundrisse_006,Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,(unknown),"Abstraktion,Methode",beginner,Kurz erklaert: Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,generated
grundrisse_007,Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,(unknown),"Maschine,Arbeit",intermediate,Kurz erklaert: Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,generated
grundrisse_008,Geld vermittelt Produktion und Austausch als allgemeine Form.,(unknown),"Geld,Krise",advanced,Kurz erklaert: Geld vermittelt Produktion und Austausch als allgemeine Form.,generated
grundrisse_009,Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,(unknown),"Produktion,Zeit",beginner,Kurz erklaert: Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,generated
grundrisse_010,Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,(unknown),"Entwicklung,Theorie",intermediate,Kurz erklaert: Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,generated
grundrisse_011,Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,(unknown),"Abstraktion,Methode",advanced,Kurz erklaert: Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,generated
grundrisse_012,Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,(unknown),"Maschine,Arbeit",beginner,Kurz erklaert: Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,generated
grundrisse_013,Geld vermittelt Produktion und Austausch als allgemeine Form.,(unknown),"Geld,Krise",intermediate,Kurz erklaert: Geld vermittelt Produktion und Austausch als allgemeine Form.,generated
grundrisse_014,Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,(unknown),"Produktion,Zeit",advanced,Kurz erklaert: Produktivkraft und gesellschaftliche Form gehoeren zusammen gedacht.,generated
grundrisse_015,Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,(unknown),"Entwicklung,Theorie",beginner,Kurz erklaert: Die Grundrisse zeigen die Arbeit am entstehenden System des Kapitals.,generated
grundrisse_016,Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,(unknown),"Abstraktion,Methode",intermediate,Kurz erklaert: Abstrakte Kategorien gewinnen erst im historischen Kontext Bedeutung.,generated
grundrisse_017,Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,(unknown),"Maschine,Arbeit",advanced,Kurz erklaert: Maschinen koennen Arbeit verkuerzen und zugleich kontrollieren.,generated
grundrisse_018,Geld vermittelt Produktion und Austausch als allgemeine Form.,(unknown),"Geld,Krise",beginner,Kurz erklaert: Geld vermittelt Produktion und Austausch als allgemeine Form.,generated
ideologie_001,Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,(unknown),"Ideologie,Bewusstsein",intermediate,Kurz erklaert: Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,generated
ideologie_002,Ideen werden von gesellschaftlicher Praxis getragen.,(unknown),"Arbeitsteilung,Geschichte",advanced,Kurz erklaert: Ideen werden von gesellschaftlicher Praxis getragen.,generated
ideologie_003,Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,(unknown),"Praxis,Theorie",beginner,Kurz erklaert: Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,generated
ideologie_004,Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,(unknown),"Menschenbild,Materialismus",intermediate,Kurz erklaert: Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,generated
ideologie_005,Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,(unknown),"Kritik,Philosophie",advanced,Kurz erklaert: Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,generated
ideologie_006,Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,(unknown),"Ideologie,Bewusstsein",beginner,Kurz erklaert: Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,generated
ideologie_007,Ideen werden von gesellschaftlicher Praxis getragen.,(unknown),"Arbeitsteilung,Geschichte",intermediate,Kurz erklaert: Ideen werden von gesellschaftlicher Praxis getragen.,generated
ideologie_008,Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,(unknown),"Praxis,Theorie",advanced,Kurz erklaert: Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,generated
ideologie_009,Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,(unknown),"Menschenbild,Materialismus",beginner,Kurz erklaert: Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,generated
ideologie_010,Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,(unknown),"Kritik,Philosophie",intermediate,Kurz erklaert: Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,generated
ideologie_011,Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,(unknown),"Ideologie,Bewusstsein",advanced,Kurz erklaert: Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,generated
ideologie_012,Ideen werden von gesellschaftlicher Praxis getragen.,(unknown),"Arbeitsteilung,Geschichte",beginner,Kurz erklaert: Ideen werden von gesellschaftlicher Praxis getragen.,generated
ideologie_013,Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,(unknown),"Praxis,Theorie",intermediate,Kurz erklaert: Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,generated
ideologie_014,Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,(unknown),"Menschenbild,Materialismus",advanced,Kurz erklaert: Ideologie verschleiert den realen Zusammenhang von Leben und Produktion.,generated
ideologie_015,Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,(unknown),"Kritik,Philosophie",beginner,Kurz erklaert: Kritik an Feuerbach heisst auch Kritik an passivem Materialismus.,generated
ideologie_016,Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,(unknown),"Ideologie,Bewusstsein",intermediate,Kurz erklaert: Die Produktion des Lebens ist der Ausgangspunkt der Geschichte.,generated
ideologie_017,Ideen werden von gesellschaftlicher Praxis getragen.,(unknown),"Arbeitsteilung,Geschichte",advanced,Kurz erklaert: Ideen werden von gesellschaftlicher Praxis getragen.,generated
ideologie_018,Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,(unknown),"Praxis,Theorie",beginner,Kurz erklaert: Die Arbeitsteilung erzeugt bestimmte Formen des Bewusstseins.,generated
kapital_001,"Der Reichtum der Gesellschaften, in welchen kapitalistische Produktionsweise herrscht, erscheint als ungeheure Warensammlung.",(unknown),"Ware,Oekonomie",intermediate,Marx beginnt mit der Ware als Grundform der kapitalistischen Gesellschaft.,generated
kapital_002,Der Gebrauchswert verwirklicht sich nur im Gebrauch oder in der Konsumtion.,(unknown),"Ware,Wert",beginner,Nuetzlichkeit entsteht praktisch erst durch Verwendung der Sache.,generated
kapital_003,"Die Ware ist vor allem ein aeusserer Gegenstand, ein Ding, das durch seine Eigenschaften menschliche Beduerfnisse befriedigt.",(unknown),"Ware,Beduerfnisse",beginner,Die Ware wird zunaechst als nuetzliches Ding bestimmt.,generated
kapital_005,Die Produktion des Mehrwerts ist das absolute Gesetz dieser Produktionsweise.,(unknown),"Mehrwert,Arbeit",advanced,Kapitalistische Produktion ist auf systematische Mehrwertaneignung ausgerichtet.,generated
kapital_006,"Das Kapital ist tote Arbeit, die sich nur vampyrmaessig belebt durch Einsaugung lebendiger Arbeit.",(unknown),"Mehrwert,Arbeitstag",intermediate,Ein praegendes Bild fuer die Abhaengigkeit des Kapitals von lebendiger Arbeit.,generated
kapital_007,"Der Arbeiter produziert nicht fuer sich, sondern fuer das Kapital.",(unknown),"Lohnarbeit,Entfremdung",beginner,"Produktion folgt den Verwertungszielen des Kapitals, nicht individuellen Beduerfnissen.",generated
kapital_008,Die Verlaengerung des Arbeitstags ueber die notwendige Arbeitszeit hinaus erzeugt den absoluten Mehrwert.,(unknown),"Mehrwert,Arbeitszeit",intermediate,Laengere Arbeitszeit ist ein direkter Hebel zur Steigerung des Mehrwerts.,generated
kapital_009,Relative Mehrwertproduktion beruht auf der Verkuerzung der notwendigen Arbeitszeit durch Produktivitaetssteigerung.,(unknown),"Mehrwert,Produktivitaet",advanced,"Nicht nur laengere Arbeit, auch effizientere Produktion steigert Mehrwert.",generated
kapital_010,"Die Maschinerie ist im Kapitalismus nicht neutral, sondern Mittel zur Kontrolle und Verdichtung der Arbeit.",(unknown),"Technik,Arbeit",intermediate,"Technik veraendert Machtverhaeltnisse im Betrieb, nicht nur Produktivitaet.",generated
kapital_011,Die Akkumulation des Kapitals ist zugleich Akkumulation von Elend auf der Gegenseite.,(unknown),"Akkumulation,Ungleichheit",advanced,Wohlstandszuwachs und soziale Polarisierung koennen zusammen auftreten.,generated
kapital_012,Die urspruengliche Akkumulation erscheint in der Geschichte als Trennung der Produzenten von ihren Produktionsmitteln.,(unknown),"Akkumulation,Geschichte",advanced,Der Startpunkt des Kapitals wird als historischer Enteignungsprozess beschrieben.,generated
kapital_013,"Der Fetischcharakter der Ware besteht darin, dass gesellschaftliche Beziehungen als Eigenschaften von Dingen erscheinen.",(unknown),"Fetischismus,Ideologie",advanced,Marktbeziehungen wirken im Alltag oft wie naturhafte Dingbeziehungen.,generated
kapital_014,Die Konkurrenz zwingt jedes einzelne Kapital zur staendigen Steigerung der Produktivkraft.,(unknown),"Konkurrenz,Produktivitaet",intermediate,"Betriebe innovieren nicht nur freiwillig, sondern unter strukturellem Marktdruck.",generated
kapital1_015,Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,(unknown),"Ware,Wert",beginner,Kurz erklaert: Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,generated
kapital1_016,"Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",(unknown),"Geld,Zirkulation",intermediate,"Kurz erklaert: Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",generated
kapital1_017,Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,(unknown),"Mehrwert,Arbeit",advanced,Kurz erklaert: Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,generated
kapital1_018,Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,(unknown),"Maschinerie,Technik",beginner,Kurz erklaert: Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,generated
kapital1_019,Akkumulation verbindet Wachstum mit sozialer Polarisierung.,(unknown),"Akkumulation,Ungleichheit",intermediate,Kurz erklaert: Akkumulation verbindet Wachstum mit sozialer Polarisierung.,generated
kapital1_020,Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,(unknown),"Ware,Wert",advanced,Kurz erklaert: Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,generated
kapital1_021,"Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",(unknown),"Geld,Zirkulation",beginner,"Kurz erklaert: Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",generated
kapital1_022,Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,(unknown),"Mehrwert,Arbeit",intermediate,Kurz erklaert: Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,generated
kapital1_023,Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,(unknown),"Maschinerie,Technik",advanced,Kurz erklaert: Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,generated
kapital1_024,Akkumulation verbindet Wachstum mit sozialer Polarisierung.,(unknown),"Akkumulation,Ungleichheit",beginner,Kurz erklaert: Akkumulation verbindet Wachstum mit sozialer Polarisierung.,generated
kapital1_025,Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,(unknown),"Ware,Wert",intermediate,Kurz erklaert: Die Ware ist der Ausgangspunkt der kapitalistischen Analyse.,generated
kapital1_026,"Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",(unknown),"Geld,Zirkulation",advanced,"Kurz erklaert: Wert entsteht nicht aus der Sache, sondern aus gesellschaftlicher Arbeit.",generated
kapital1_027,Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,(unknown),"Mehrwert,Arbeit",beginner,Kurz erklaert: Mehrwert erklaert den spezifischen Profitmechanismus des Kapitals.,generated
kapital1_028,Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,(unknown),"Maschinerie,Technik",intermediate,Kurz erklaert: Maschinerie dient im Kapitalismus oft der Verdichtung von Arbeit.,generated
